P00027739T0000|5 28|gamma glutamyltransferase
P00100540T0000|52 66|cyclo-oxygenase
P00224013A0661|335 359|beta-Vasodilator receptors
P00227393T0000|29 45|D3-24-hydroxylase
P00234264A0164|13 26|transpeptidase
P00369397A0280|56 59|GnRH
P00497494A0112|32 36|PACO2
P00716366T0001|22 40|alkaline phosphatase
P00898500A0246|143 153|IgE antibody
P00954819A1041|95 99|Sarin
P01279352A1197|133 150|beta-galactosidase
P01285009A0000|145 159|cholecystokinin
P01285009A0000|176 185|beta-actin
P01309587A0715|31 35|BMRF1
P01309894A0807|4 8|Rep78
P01313846A0850|63 76|immunoglobulin
P01313894A1179|54 58|LMP2B
P01321336A0731|19 22|ALF1
P01321337A0318|165 175|calcineurin
P01324404A0813|114 122|HNF-3 beta
P01325221A0870|107 115|MAP kinase
P01328197A0985|27 54|MAP kinase activator/MAP kinase
P01328197A0985|91 93|ras
P01328681A0149|47 51|c-myc
P01330077A0000|0 26|T-cell receptor beta (TCR beta)
P01330309A1134|37 44|myogenin
P01331060A0768|17 28|calcineurin A
P01332964A0247|26 29|beta
P01333035T0000|10 21|cAMP receptor
P01333047A0404|126 128|Nck
P01339373T0000|77 80|SNF1
P01339468A0272|3 6|ORF1
P01339468A0272|92 93|-6
P01348504A0757|11 23|alpha-primase
P01348508A0313|153 156|TGM1
P01349837T0000|47 74|mitochondrial chaperonin HSP60
P01358758A0000|24 31|insulin I
P01371275T0000|50 60|H(+)-ATPase
P01371413A0742|14 19|hGCSFR
P01371863A0000|31 54|differentially-regulated
P01378052A0594|153 156|NtrC
P01378052A0594|160 163|NifA
P01380454A0451|43 47|ref-1
P01380454A0451|133 136|AP-1
P01386897A0000|65 75|CDC28 kinase
P01388160A1102|65 74|the epsilon
P01398068A0948|57 59|p53
P01398074A0697|75 82|RNase MRP
P01398074A1081|8 10|MRP
P01399206A0375|35 45|collagenase
P01402647A0114|0 2|DR1
P01406630A0965|152 159|NF-kappa
P01409581A0206|74 77|PU.1
P01427034A0440|90 92|S13
P01436261A0145|31 42|somatostatin
P01457695T0000a|9 27|beta 2-microglobulin
P01457695T0000b|9 27|beta 2-microglobulin
P01460054A0968|76 88|IFN-inducible
P01467828A0542|52 65|opioid peptides
P01468625A0282|23 26|HIS3
P01480183A0000|30 40|lactoferrin
P01480183A1689|64 74|lactoferrin
P01518849A0165|150 166|alpha 1-proteinase
P01527020A0511|36 54|AdoMet decarboxylase
P01529530T0000|0 23|Interferon-alpha-induced
P01529530T0000|92 96|ISGF3
P01535242A0557|80 84|c-fms
P01537845A0571|51 55|c-myb
P01542667A0125|15 23|IFN-gamma
P01542686A0000|62 64|p75
P01545787A0345|72 77|DNase I
P01545792A0000|28 34|(MLC-2)
P01545792A0492|87 91|MLC-2
P01545797A0587|43 46|SLK1
P01545818A0696|10 35|p62 tyrosine-phosphorylated
P01547957A1083|226 235|polymerase
P01549123A0480|3 6|MET4
P01557411A1282|13 15|D1A
P01569945A0529|3 6|SEN1
P01572549A0000|0 21|Protein tyrosine kinases
P01582413A0759|47 50|bHLH
P01588913A0000|0 0|A
P01588913A0000|35 38|dnaA
P01588965A0000|0 3|GCR1
P01594554A0845|47 53|trypsin
P01630454A0635|55 58|Act1
P01633435A0743|3 7|DRF-2
P01644751A0590|100 103|msgB
P01644831A0824|55 60|NGFI-B
P01646157A0414|166 184|alpha-galactosidase
P01652755A1492|191 200|beta-actin
P01653238A1715|6 14|TGF-beta 1
P01659685T0000|62 64|ras
P01660486A1756|173 175|PKC
P01661369A0825|20 23|strE
P01662794A0640|15 17|wt1
P01674817T0000|27 31|RNA15
P01679124A1368|43 46|ChAT
P01679749A1171|136 140|HSPG2
P01682509A0539|30 31|IE
P01690728A1166|161 170|polymerase
P01692135A0783|15 25|gamma R alpha
P01692135A0783|62 76|different-sized
P01692962A0980|147 152|kinase
P01695905A0480|0 4|GLUT5
P01699944A1538|164 168|c-fos
P01708098A0922|5 17|avidin-biotin
P01710768A1172|123 128|HLA-B7
P01711048T0000|51 59|pro-alpha
P01713213A0000|138 142|Pim-1
P01713213A0000|190 203|tyrosine kinase
P01713213A0488|17 21|pim-1
P01713213A0488|73 77|Pim-1
P01714902A0221|100 106|CD3 zeta
P01720843A1506|51 77|angiotensin converting enzyme
P01721884A0962|84 90|H (RNase
P01721884A0962|186 190|RNase
P01721884A0962|255 259|RNase
P01734283A0817|27 31|RAP74
P01737741A0000|29 44|monoamine oxidase
P01739956A0638|23 27|beta-
P01742606A0000|11 23|beta-spectrin
P01744119A0757|16 22|primase
P01748630A0125|59 63|c-Myc
P01748630A0125|165 167|Myc
P01765266A0000|50 56|1-alpha
P01765375A0290|51 58|clathrin
P01768648A0853|24 27|LexA
P01783088A1136|126 136|fibronectin
P01822995T0000|5 8|rbcS
P01824713A0964|6 8|E1A
P01826043A0431|3 23|pp90rsk-protein kinase
P01826043A0431|175 191|the protein kinase C
P01828248A0189|15 18|UvrA
P01828248A0189|42 45|UvrB
P01829460A0329|68 73|kappa B
P01844017A0410|48 81|glucose-6-phosphatase dehydrogenase
P01847464A0856|206 210|c-myc
P01847665A1079|55 67|PDGF receptors
P01850105A1093|12 16|c-myc
P01850105A1093|50 54|c-myc
P01860846A0663|49 60|factor-alpha
P01864837A1029|127 141|alpha 1-protease
P01874195A0139|167 180|tyrosine kinase
P01878489A0959|80 91|NADPH oxidase
P01883992A0922|95 103|beta-zein
P01901946A0243|61 65|c-fos
P01901950T0000|81 85|c-fos
P01904437A0000|18 21|metH
P01904437A0000|93 96|metR
P01904546A0671|26 29|AAR1
P01915580A0889|87 96|late-phase
P01918073A0150|160 166|kinase A
P01918073A0150|604 610|kinase C
P01922082A0149|20 26|TSH beta
P01968224A0119|160 163|PCNA
P01968224A0119|192 195|PCNA
P01970560A1024|120 137|beta-Galactosidase
P01982997A1104|130 134|c-Jun
P01985920A0156|81 84|SCP2
P01985920A0156|151 154|SCP2
P01986241A0117|20 23|ACE1
P01986360A0000|159 189|(2'-5')oligoadenylate synthetase
P01997465A0276|58 65|collagen
P02010912A0366|73 76|MalT
P02016053A0752|33 36|E74A
